Character_Name,Gender,Role,Universe,Power_Level,Team,First_Appearance_Year,Popularity_Score
Vision,Female,Hero,MCU,83,Guardians,2013,8
Gaeilge,Male,Hero,MCU,72,Guardians,2014,8
Brezhoneg,Male,Supporting,MCU,60,Solo,2010,2
Yahoo,Female,Supporting,MCU,77,Guardians,2008,9
Firefly,Female,Hero,MCU,57,Guardians,2020,3
Aladdin,Female,Hero,MCU,59,Solo,2009,3
Watchers,Female,Villain,MCU,81,Avengers,2019,2
CraveOnline,Male,Villain,MCU,61,Guardians,2018,1
Lists,Male,Villain,MCU,68,Solo,2014,5
Miracleman,Male,Supporting,MCU,63,Solo,2013,7
Hulk,Male,Villain,MCU,77,Solo,2009,6
Multiverse,Female,Villain,MCU,57,Guardians,2011,2
Thanos,Male,Villain,MCU,64,Guardians,2014,5
Lists,Male,Villain,MCU,68,Solo,2014,5
Lucasfilm,Female,Supporting,MCU,56,Avengers,2019,3
Avalon,Male,Villain,MCU,93,Guardians,2012,3
macOS,Male,Hero,MCU,90,Solo,2013,7
Mantis,Male,Supporting,MCU,87,Avengers,2010,4
Korath,Male,Villain,MCU,65,Guardians,2008,8
Avatar,Female,Supporting,MCU,77,Guardians,2022,4
Português,Female,Villain,MCU,54,Guardians,2021,7
Netflix,Female,Villain,MCU,50,Avengers,2011,9
Halloweentown,Male,Supporting,MCU,100,Guardians,2008,1
Français,Female,Villain,MCU,55,Guardians,2008,1
Zootopia,Female,Villain,MCU,68,Guardians,2011,3
Okoye,Female,Hero,MCU,80,Guardians,2008,8
Slovenščina,Male,Villain,MCU,77,Guardians,2017,9
Coco,Female,Supporting,MCU,74,Solo,2019,3
Freeform,Female,Hero,MCU,68,Solo,2018,5
Lietuvių,Male,Villain,MCU,90,Guardians,2015,4
Zootopia,Female,Villain,MCU,68,Guardians,2011,3
Complex,Female,Supporting,MCU,86,Avengers,2008,8
Hausa,Female,Hero,MCU,65,Avengers,2011,3
Crossover,Male,Hero,MCU,75,Avengers,2010,1
Nebula,Male,Villain,MCU,66,Solo,2023,10
Ελληνικά,Female,Villain,MCU,72,Solo,2010,7
Lists,Male,Villain,MCU,68,Solo,2014,5
Sigilverse,Female,Supporting,MCU,79,Guardians,2021,5
Esperanto,Female,Hero,MCU,51,Guardians,2015,4
Brezhoneg,Male,Supporting,MCU,60,Solo,2010,2
Battlefront,Female,Villain,MCU,60,Guardians,2017,7
Asgard,Male,Supporting,MCU,57,Guardians,2019,5
version,Male,Supporting,MCU,75,Guardians,2009,6
Illuminati,Female,Supporting,MCU,68,Avengers,2012,1
production,Male,Villain,MCU,89,Guardians,2009,6
Namor,Female,Hero,MCU,93,Avengers,2009,4
Contents,Male,Supporting,MCU,53,Avengers,2010,5
Esperanto,Female,Hero,MCU,51,Guardians,2015,4
GameSpot,Male,Villain,MCU,54,Avengers,2020,8
Mulan,Female,Villain,MCU,59,Avengers,2021,4
Magyar,Female,Supporting,MCU,81,Guardians,2022,9
Português,Female,Villain,MCU,54,Guardians,2021,7
Multiverse,Female,Villain,MCU,57,Guardians,2011,2
version,Male,Supporting,MCU,75,Guardians,2009,6
العربية,Female,Villain,MCU,56,Solo,2008,6
Asgardian,Male,Villain,MCU,50,Avengers,2018,5
Hulk,Male,Villain,MCU,77,Solo,2009,6
foreword,Male,Hero,MCU,53,Avengers,2008,3
Polygon,Female,Supporting,MCU,81,Guardians,2008,3
Asgardian,Male,Villain,MCU,50,Avengers,2018,5
Tweet,Male,Hero,MCU,83,Guardians,2012,2
Asgardian,Male,Villain,MCU,50,Avengers,2018,5
multiverse,Male,Villain,MCU,54,Guardians,2022,9
Netflix,Female,Villain,MCU,50,Avengers,2011,9
Asgardian,Male,Villain,MCU,50,Avengers,2018,5
Reception,Female,Supporting,MCU,61,Solo,2017,9
Adweek,Female,Villain,MCU,61,Avengers,2022,2
Razorline,Female,Hero,MCU,72,Guardians,2020,9
characters,Male,Supporting,MCU,63,Guardians,2021,4
Venom,Female,Hero,MCU,71,Avengers,2013,3
Esperanto,Female,Hero,MCU,51,Guardians,2015,4
Deadpool,Female,Villain,MCU,91,Guardians,2009,2
Adweek,Female,Villain,MCU,61,Avengers,2022,2
Film,Female,Villain,MCU,76,Solo,2020,2
Mulan,Female,Villain,MCU,59,Avengers,2021,4
Vision,Female,Hero,MCU,83,Guardians,2013,8
Português,Female,Villain,MCU,54,Guardians,2021,7
production,Male,Villain,MCU,89,Guardians,2009,6
Shadowline,Female,Villain,MCU,75,Solo,2020,7
Movies,Female,Hero,MCU,75,Guardians,2021,4
Հայերեն,Male,Villain,MCU,50,Avengers,2011,10
Venomverse,Female,Hero,MCU,55,Solo,2008,10
Gaeilge,Male,Hero,MCU,72,Guardians,2014,8
Wong,Male,Hero,MCU,90,Solo,2009,5
Descendants,Female,Supporting,MCU,53,Avengers,2017,7
Cars,Female,Villain,MCU,64,Solo,2012,9
production,Male,Villain,MCU,89,Guardians,2009,6
Herbie,Female,Hero,MCU,82,Solo,2014,7
Alien,Female,Supporting,MCU,84,Solo,2014,4
wiki,Male,Hero,MCU,64,Guardians,2011,2
Endgame,Female,Hero,MCU,68,Avengers,2010,5
Spectrobes,Male,Hero,MCU,90,Guardians,2009,9
Netflix,Female,Villain,MCU,50,Avengers,2011,9
Illuminati,Female,Supporting,MCU,68,Avengers,2012,1
Українська,Male,Hero,MCU,86,Avengers,2020,10
فارسی,Female,Hero,MCU,54,Solo,2020,6
Sylvie,Male,Hero,MCU,86,Avengers,2011,5
Українська,Male,Hero,MCU,86,Avengers,2020,10
FedEx,Female,Villain,MCU,76,Solo,2021,9
Ελληνικά,Female,Villain,MCU,72,Solo,2010,7
Collider,Female,Villain,MCU,79,Avengers,2017,9
Empire,Female,Supporting,MCU,91,Solo,2009,10
Categories,Female,Supporting,MCU,76,Avengers,2023,2
film,Female,Hero,MCU,76,Solo,2010,2
Species,Male,Hero,MCU,64,Solo,2011,2
Buffyverse,Female,Villain,MCU,73,Avengers,2020,2
فارسی,Female,Hero,MCU,54,Solo,2020,6
Alien,Female,Supporting,MCU,84,Solo,2014,4
Google,Female,Supporting,MCU,82,Solo,2015,1
Nintendo,Female,Supporting,MCU,50,Guardians,2012,7
Reception,Female,Supporting,MCU,61,Solo,2017,9
Dansk,Male,Supporting,MCU,64,Avengers,2018,3
Shqip,Male,Supporting,MCU,87,Guardians,2008,10
Eternals,Female,Hero,MCU,51,Avengers,2009,7
Português,Female,Villain,MCU,54,Guardians,2021,7
Android,Male,Hero,MCU,61,Solo,2013,2
version,Male,Supporting,MCU,75,Guardians,2009,6
Species,Male,Hero,MCU,64,Solo,2011,2
Sylvie,Male,Hero,MCU,86,Avengers,2011,5
Беларуская,Male,Hero,MCU,98,Avengers,2010,1
Twitter,Male,Supporting,MCU,86,Avengers,2009,10
Magyar,Female,Supporting,MCU,81,Guardians,2022,9
characters,Male,Supporting,MCU,63,Guardians,2021,4
Adventures,Female,Supporting,MCU,68,Avengers,2008,2
Homecoming,Female,Supporting,MCU,57,Solo,2021,10
Asgard,Male,Supporting,MCU,57,Guardians,2019,5
Hydra,Female,Hero,MCU,60,Avengers,2019,4
Asgardian,Male,Villain,MCU,50,Avengers,2018,5
Esquire,Male,Villain,MCU,89,Avengers,2021,7
Dansk,Male,Supporting,MCU,64,Avengers,2018,3
Frozen,Female,Supporting,MCU,84,Solo,2020,4
Google,Female,Supporting,MCU,82,Solo,2015,1
Species,Male,Hero,MCU,64,Solo,2011,2
Films,Female,Hero,MCU,80,Solo,2017,6
Arrow,Female,Supporting,MCU,57,Solo,2023,2
Watcher,Female,Supporting,MCU,70,Solo,2011,8
Беларуская,Male,Hero,MCU,98,Avengers,2010,1
Gamora,Male,Hero,MCU,63,Guardians,2009,4
Homecoming,Female,Supporting,MCU,57,Solo,2021,10
Amalgam,Female,Supporting,MCU,90,Guardians,2020,10
Fandango,Female,Villain,MCU,71,Guardians,2017,4
Predator,Male,Supporting,MCU,58,Solo,2013,1
Tagalog,Male,Supporting,MCU,83,Solo,2014,2
Madripoor,Male,Hero,MCU,100,Avengers,2015,10
Ελληνικά,Female,Villain,MCU,72,Solo,2010,7
VisionQuest,Male,Hero,MCU,90,Guardians,2016,10
Cinematic,Female,Supporting,MCU,77,Guardians,2015,10
Wastelanders,Female,Supporting,MCU,88,Guardians,2014,10
Illusion,Male,Villain,MCU,61,Guardians,2013,3
Disneyland,Female,Hero,MCU,77,Guardians,2022,1
PixMob,Male,Villain,MCU,83,Solo,2011,7
Exiles,Male,Hero,MCU,96,Avengers,2020,1
intertitle,Female,Supporting,MCU,66,Avengers,2018,6
Slovenčina,Female,Supporting,MCU,85,Guardians,2017,4
Brezhoneg,Male,Supporting,MCU,60,Solo,2010,2
Kahhori,Male,Villain,MCU,88,Solo,2016,4
Cinderella,Male,Supporting,MCU,91,Guardians,2010,1
Predator,Male,Supporting,MCU,58,Solo,2013,1
Nebula,Male,Villain,MCU,66,Solo,2023,10
wiki,Male,Hero,MCU,64,Guardians,2011,2
Zootopia,Female,Villain,MCU,68,Guardians,2011,3
Sylvie,Male,Hero,MCU,86,Avengers,2011,5
Television,Female,Hero,MCU,76,Avengers,2018,7
Groot,Male,Hero,MCU,60,Guardians,2016,8
Suomi,Male,Supporting,MCU,65,Solo,2021,10
Kinect,Male,Villain,MCU,69,Solo,2013,9
Punisher,Female,Villain,MCU,77,Solo,2008,6
Mulan,Female,Villain,MCU,59,Avengers,2021,4
Razorline,Female,Hero,MCU,72,Guardians,2020,9
Disneyland,Female,Hero,MCU,77,Guardians,2022,1
Valkyrie,Male,Supporting,MCU,64,Solo,2015,6
Azərbaycanca,Male,Villain,MCU,85,Guardians,2018,1
Species,Male,Hero,MCU,64,Solo,2011,2
version,Male,Supporting,MCU,75,Guardians,2009,6
Eternals,Female,Hero,MCU,51,Avengers,2009,7
Descendants,Female,Supporting,MCU,53,Avengers,2017,7
Latviešu,Male,Villain,MCU,100,Avengers,2019,3
Inhumans,Female,Hero,MCU,74,Avengers,2011,8
Species,Male,Hero,MCU,64,Solo,2011,2
coda,Male,Supporting,MCU,87,Solo,2014,9
Asgard,Male,Supporting,MCU,57,Guardians,2019,5
کوردی,Female,Hero,MCU,89,Guardians,2012,5
Disney,Male,Hero,MCU,93,Guardians,2010,7
Homecoming,Female,Supporting,MCU,57,Solo,2021,10
Rocket,Female,Hero,MCU,56,Avengers,2010,9
Ελληνικά,Female,Villain,MCU,72,Solo,2010,7
TheWrap,Male,Hero,MCU,72,Avengers,2016,4
BlackBerry,Male,Villain,MCU,78,Avengers,2008,1
Echo,Male,Supporting,MCU,90,Guardians,2022,3
characters,Male,Supporting,MCU,63,Guardians,2021,4
Mangaverse,Male,Hero,MCU,91,Avengers,2019,10
accolades,Female,Hero,MCU,83,Avengers,2016,3
Descendants,Female,Supporting,MCU,53,Avengers,2017,7
Questprobe,Female,Supporting,MCU,86,Solo,2016,3
Drax,Male,Hero,MCU,52,Solo,2018,5
film,Female,Hero,MCU,76,Solo,2010,2
Donate,Female,Hero,MCU,80,Guardians,2021,5
Slash,Male,Supporting,MCU,61,Guardians,2012,3
Yellowjacket,Female,Hero,MCU,65,Guardians,2019,3
Esquire,Male,Villain,MCU,89,Avengers,2021,7
Nerdist,Male,Supporting,MCU,78,Avengers,2011,3
Cinematic,Female,Supporting,MCU,77,Guardians,2015,10
Collider,Female,Villain,MCU,79,Avengers,2017,9
Slovenščina,Male,Villain,MCU,77,Guardians,2017,9
Shadowline,Female,Villain,MCU,75,Solo,2020,7
Binary,Male,Supporting,MCU,53,Solo,2023,5
Avatar,Female,Supporting,MCU,77,Guardians,2022,4
Korath,Male,Villain,MCU,65,Guardians,2008,8
photorealistic,Male,Hero,MCU,90,Solo,2022,9
Engadget,Female,Supporting,MCU,82,Guardians,2013,8
Slovenčina,Female,Supporting,MCU,85,Guardians,2017,4
Goofy,Male,Hero,MCU,58,Solo,2021,6
Avalon,Male,Villain,MCU,93,Guardians,2012,3
Characters,Male,Supporting,MCU,62,Avengers,2011,4
Drax,Male,Hero,MCU,52,Solo,2018,5
Innoventions,Female,Hero,MCU,99,Avengers,2008,4
intertitle,Female,Supporting,MCU,66,Avengers,2018,6
Films,Female,Hero,MCU,80,Solo,2017,6
Қазақша,Female,Supporting,MCU,93,Avengers,2015,2
CraveOnline,Male,Villain,MCU,61,Guardians,2018,1
Sigilverse,Female,Supporting,MCU,79,Guardians,2021,5
Sega,Male,Supporting,MCU,87,Avengers,2017,2
InfoWars,Male,Hero,MCU,79,Avengers,2021,3
Mangaverse,Male,Hero,MCU,91,Avengers,2019,10
العربية,Female,Villain,MCU,56,Solo,2008,6
Slovenščina,Male,Villain,MCU,77,Guardians,2017,9
Tomorrowland,Female,Hero,MCU,71,Solo,2022,5
characters,Male,Supporting,MCU,63,Guardians,2021,4
Tweet,Male,Hero,MCU,83,Guardians,2012,2
Slovenčina,Female,Supporting,MCU,85,Guardians,2017,4
Film,Female,Villain,MCU,76,Solo,2020,2
Nintendo,Female,Supporting,MCU,50,Guardians,2012,7
Hausa,Female,Hero,MCU,65,Avengers,2011,3
Ultron,Male,Villain,MCU,50,Guardians,2015,1
GameRevolution,Male,Villain,MCU,82,Avengers,2022,7
NYPD,Female,Villain,MCU,62,Guardians,2016,5
Talos,Male,Villain,MCU,76,Guardians,2011,8
پنجابی,Female,Hero,MCU,90,Guardians,2013,6
Alien,Female,Supporting,MCU,84,Solo,2014,4
Wikivoyage,Female,Villain,MCU,66,Avengers,2021,9
Spectrobes,Male,Hero,MCU,90,Guardians,2009,9
Timeline,Male,Villain,MCU,72,Avengers,2013,1
Disneyland,Female,Hero,MCU,77,Guardians,2022,1
Sylvie,Male,Hero,MCU,86,Avengers,2011,5
Hercules,Male,Supporting,MCU,51,Avengers,2021,3
Adventures,Female,Supporting,MCU,68,Avengers,2008,2
Euskara,Male,Villain,MCU,61,Avengers,2010,6
Characters,Male,Supporting,MCU,62,Avengers,2011,4
Mangaverse,Male,Hero,MCU,91,Avengers,2019,10
Avengers,Female,Villain,MCU,98,Avengers,2013,5
Asturianu,Female,Supporting,MCU,68,Solo,2009,6
White,Male,Villain,MCU,87,Solo,2017,1
Donate,Female,Hero,MCU,80,Guardians,2021,5
Empire,Female,Supporting,MCU,91,Solo,2009,10
Mangaverse,Male,Hero,MCU,91,Avengers,2019,10
მარგალური,Female,Villain,MCU,68,Solo,2013,6
Forbes,Male,Supporting,MCU,67,Avengers,2013,3
Mephisto,Male,Supporting,MCU,65,Solo,2011,2
Apple,Female,Villain,MCU,90,Solo,2009,5
Multiverse,Female,Villain,MCU,57,Guardians,2011,2
Deadpool,Female,Villain,MCU,91,Guardians,2009,2
Heimdall,Male,Hero,MCU,75,Avengers,2012,9
MovieWeb,Male,Villain,MCU,58,Avengers,2021,5
Talk,Female,Villain,MCU,77,Avengers,2019,3
Lucasfilm,Female,Supporting,MCU,56,Avengers,2019,3
Genesis,Female,Hero,MCU,84,Avengers,2020,1
Lionsgate,Female,Hero,MCU,97,Solo,2022,2
Suomi,Male,Supporting,MCU,65,Solo,2021,10
Helstrom,Male,Supporting,MCU,55,Avengers,2009,8
Pluto,Male,Supporting,MCU,86,Solo,2020,4
Shadowline,Female,Villain,MCU,75,Solo,2020,7
Betawi,Male,Hero,MCU,94,Guardians,2011,3
CNET,Female,Supporting,MCU,80,Avengers,2020,1
Alien,Female,Supporting,MCU,84,Solo,2014,4
Français,Female,Villain,MCU,55,Guardians,2008,1
Variety,Male,Supporting,MCU,66,Guardians,2012,7
Ultraverse,Male,Supporting,MCU,72,Solo,2010,1
Razorline,Female,Hero,MCU,72,Guardians,2020,9
Helstrom,Male,Supporting,MCU,55,Avengers,2009,8
پنجابی,Female,Hero,MCU,90,Guardians,2013,6
Search,Male,Villain,MCU,97,Avengers,2014,8
Illusion,Male,Villain,MCU,61,Guardians,2013,3
Inverse,Male,Hero,MCU,75,Guardians,2021,6
Vision,Female,Hero,MCU,83,Guardians,2013,8
Collider,Female,Villain,MCU,79,Avengers,2017,9
Thor,Male,Villain,MCU,68,Avengers,2019,1
Fandango,Female,Villain,MCU,71,Guardians,2017,4
Dansk,Male,Supporting,MCU,64,Avengers,2018,3
Thanos,Male,Villain,MCU,64,Guardians,2014,5
Elektra,Female,Hero,MCU,54,Guardians,2016,9
mutant,Male,Supporting,MCU,72,Guardians,2023,9
Music,Male,Villain,MCU,97,Guardians,2011,4
Nerdist,Male,Supporting,MCU,78,Avengers,2011,3
Thor,Male,Villain,MCU,68,Avengers,2019,1
Apple,Female,Villain,MCU,90,Solo,2009,5
العربية,Female,Villain,MCU,56,Solo,2008,6
